City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,Dubuque,42.4833,-90.8668,27.63,72,75,8.05,US,2021-12-19 04:23:32
192,San Cristobal,7.7669,-72.225,68.18,93,100,1.07,VE,2021-12-19 04:23:33
193,Saharsa,25.8833,86.6,61.09,33,0,11.9,IN,2021-12-19 04:23:33
194,Batagay,67.6333,134.6333,-29.78,98,100,0.85,RU,2021-12-19 04:23:34
195,Cidreira,-30.1811,-50.2056,70.3,73,89,19.01,BR,2021-12-19 04:23:34
196,Inirida,3.8653,-67.9239,73.76,97,92,1.05,CO,2021-12-19 04:23:34
197,Antananarivo,-18.9137,47.5361,69.76,78,20,4.61,MG,2021-12-19 04:23:35
198,Ipixuna,-1.7625,-48.8043,74.73,95,100,2.73,BR,2021-12-19 04:23:35
199,Smolenka,52.1352,113.4974,23.07,54,96,11.18,RU,2021-12-19 04:23:35
200,Worthing,50.8145,-0.3713,46.94,91,100,1.99,GB,2021-12-19 04:23:36
201,Prince Rupert,54.3161,-130.3201,35.29,85,1,5.75,CA,2021-12-19 04:23:36
202,Kentau,43.5206,68.5094,41.14,26,100,3.09,KZ,2021-12-19 04:23:36
203,Port Elizabeth,-33.918,25.5701,62.89,82,0,12.66,ZA,2021-12-19 04:23:37
204,Saint George,37.1041,-113.5841,36.79,66,1,1.99,US,2021-12-19 04:23:37
205,Kokopo,-4.352,152.2633,77.22,90,100,1.05,PG,2021-12-19 04:23:38
206,Lavrentiya,65.5833,-171.0,-0.42,96,100,10.67,RU,2021-12-19 04:23:38
207,Gushikawa,26.3544,127.8686,66.2,51,75,10.36,JP,2021-12-19 04:23:38
208,Rawson,-43.3002,-65.1023,62.29,82,0,0.4,AR,2021-12-19 04:23:39
209,Provideniya,64.3833,-173.3,3.29,97,100,19.37,RU,2021-12-19 04:23:39
210,Loa Janan,-0.583,117.095,82.38,88,100,0.38,ID,2021-12-19 04:23:40
211,Broken Hill,-31.95,141.4333,85.71,30,80,14.97,AU,2021-12-19 04:23:40
212,Bindura,-17.3019,31.3306,62.29,90,100,1.97,ZW,2021-12-19 04:23:40
213,Mildura,-34.2,142.15,86.07,21,20,17.27,AU,2021-12-19 04:19:20
214,Valkeala,60.9401,26.7979,34.2,86,90,13.8,FI,2021-12-19 04:23:41
215,Port Hardy,50.6996,-127.4199,41.0,100,75,2.3,CA,2021-12-19 04:23:41
216,Russell,32.3502,-85.1999,63.55,94,90,0.0,US,2021-12-19 04:23:41
217,Fuente De Oro,3.4594,-73.6128,77.14,66,100,2.51,CO,2021-12-19 04:23:42
218,Qaanaaq,77.484,-69.3632,9.3,74,100,8.55,GL,2021-12-19 04:23:42
219,Dachau,48.26,11.434,32.45,96,45,5.41,DE,2021-12-19 04:23:42
220,Cabedelo,-6.9811,-34.8339,79.47,75,30,10.56,BR,2021-12-19 04:23:43
221,Byron Bay,-28.65,153.6167,89.71,58,3,15.82,AU,2021-12-19 04:23:43
222,Airai,-8.9266,125.4092,76.33,57,95,1.01,TL,2021-12-19 04:23:43
223,Biak,-0.9131,122.8766,85.3,64,86,1.07,ID,2021-12-19 04:23:44
224,Fortuna,40.5982,-124.1573,47.66,91,90,6.91,US,2021-12-19 04:23:44
225,Ilo,-17.6394,-71.3375,67.23,82,100,6.06,PE,2021-12-19 04:23:44
226,Grindavik,63.8424,-22.4338,46.87,100,90,18.41,IS,2021-12-19 04:23:45
